Course,Title,Institution,Credit
CHEM 1150,The Language of Chemistry,Cornell University,3
EAS 1540,Introductory Oceanography,Cornell University,3
MATH 1910,Calculus for Engineers,Cornell University,4
NTRES 3100,Applied Population Ecology,Cornell University,3
EAS 3220,Biogeochemistry of Hawaii,Cornell University,4
EAS 3400,Field Study of Earth Systems,Cornell University,6
EAS 3510,Conservation Oceanography,Cornell University,4
EAS 3050,Climate Dynamics,Cornell University,3
NTRES 4100,Conservation Biology,Cornell University,4
BTRY 3010,Biological Statistics,Cornell University,4
EAS 3530,Physical Oceanography,Cornell University,3
BIOL 533,Marine Bioacoustics, University of Washington,6
OCEAN 510,Physics of Ocean Circulation,University of Washington,2
OCEAN 520,Marine Chemistry,University of Washington,2
OCEAN 539,Ecological Modeling,University of Washington,2.5
FISH 560,Applied Multivariate Statistics for Ecologists,University of Washington,3
